Type,colorName,Base,Litre Per Item,Price,Stock,volme,
Exterior,Weather Coat All Guard,P0,20,3433,2,40,
Exterior,Weather Coat All Guard,W1,20,13000,2,40,
Exterior,Weather Coat All Guard,Brown,20,13000,2,40,
Exterior,Weather Coat All Guard,Yellow,20,13000,2,40,
Exterior,Wallmasta,P0,20,9000,10,200,
Exterior,Wallmasta,W1,20,9000,10,200,
Exterior,Wallmasta,Brown,20,9000,3,60,
Exterior,Wallmasta,Yellow,20,9000,2,40,
Interior,Silk Glamour,P0,1,750,3,3,
Interior,Silk Glamour,W1,1,750,3,3,
Interior,Silk Glamour,N1,1,750,2,2,
Interior,Silk Glamour,N2,1,750,2,2,
Interior,Silk Glamour,P0,4,3000,13,52,
Interior,Silk Glamour,W1,4,3000,3,12,
Interior,Silk Glamour,N1,4,3000,5,20,
Interior,Silk Glamour,N2,4,3000,5,20,
Interior,Silk Glamour,P0,10,7500,2,20,
Interio,Silk Glamour,W1,10,7500,2,20,
Interior,Silk Glamou,N1,10,7500,3,30,
Interior,Silk Glamour,N2,10,7500,3,30,
Interior,Silk Glamour,P0,20,15000,2,40,
Interior,Silk Glamour,W1,20,15000,2,40,
Interior,Silk Emulsion,P0,1,700,7,7,
Interior,Silk Emulsion,W1,1,700,5,5,
Interior,Silk Emulsion,N,1,700,5,5,
Interior,Silk Emulsion,N2,1,700,3,3,
Interior,Silk Emulsion,P0,4,2800,2,8,
Interior,Silk Emulsion,W1,4,,4,16,
Interior,Silk Emulsion,N1,4,2800,4,16,
Interior,Silk Emulsion,N2,4,2800,2,8,
Interior,Silk Emulsion,P0,10,7000,2,20,
Interior,Silk Emulsion,W1,10,7000,2,20,
Interior,Silk Emulsion,N1,10,7000,2,20,
Interior,Silk Emulsion,N2,10,7000,3,30,
Interior,Silk Emulsion,P0,20,14000,3,60,
Interior,Silk Emulsion,W1,20,14000,2,40,
Interior,Easy Clean,P0,1,635,10,10,
Interior,Easy Clean,W1,1,635,5,5,
Interior,Easy Clean,N1,1,635,3,3,
Interior,Easy Clean,N2,1,635,2,2,
Interior,Easy Clean,P0,4,2540,13,52,
Interior,Easy Clean,W1,4,2540,3,12,
Interior,Easy Clean,N1,4,2540,2,8,
Interior,Easy Clean,N2,4,2540,2,8,
Interior,Easy Clean,P0,10,6350,3,30,
Interior,Easy Clean,W1,10,6350,3,30,
Interior,Easy Cleane,N1,10,6350,2,20,
Interior,Easy Clean,N2,10,6350,2,20,
Interior,Easy Clean,P0,20,12700,10,200,.
Interior,Easy Clean,W1,20,12700,10,200,
Interior,Bison,P0,1,550,5,5,
Interior,Bison,W1,1,550,3,3,
Interior,Bison,N1,1,550,2,2,
Interior,Bison,N2,1,550,13,13,
Interior,Bison,P0,4,2200,3,12,
Interior,Bison,W1,4,2200,2,8,
Interior,Bison,N1,4,2200,2,8,
Interior,Bison,N2,4,2200,2,8,
Interior,Bison,P0,10,5500,2,20,
Interior,Bison,E1,10,5500,10,100,
Interior,Bison,N1,10,5500,10,100,
Interior,Bison,N2,10,5500,3,30,
Interior,Bison,P0,20,11000,2,40,
Interior,Bison,W1,20,11000,3,60,
Exterior,Weather Coat All Guard,Brown,1,650,2,2,
Exterior,Weather Coat All Guard,Yellow,1,650,2,2,
Exterior,Wallmasta,P0,1,450,7,7,
",",,,,,,,
